customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Category,Segment
6908,Female,0,1,0,35,1,2,Fiber optic,0,0,0,0,0,0,Month-to-month,1,2,75.2,2576.2,0.45190775143116096,Low,1
2665,Male,0,1,1,63,1,0,DSL,2,2,2,2,2,0,Two year,0,1,75.55,4707.85,0.047213247463265856,Low,2
4569,Male,0,1,0,71,1,2,DSL,2,2,2,2,2,2,Two year,0,0,87.95,6365.35,0.04755413187075732,Low,2
4313,Male,0,1,0,16,1,2,Fiber optic,0,0,0,0,1,0,Month-to-month,1,2,84.77086386575564,1390.3072398049085,0.9379957954527901,High,1
6952,Male,0,1,1,72,0,1,DSL,0,2,2,2,2,2,Two year,1,2,60.0,4264.0,0.048675515287784916,Low,2
2982,Male,0,0,0,16,0,0,DSL,2,0,0,2,1,1,Month-to-month,0,0,83.45807125322166,1110.3838298575195,0.9306983145739252,High,1
5792,Male,0,0,0,11,1,2,Fiber optic,0,0,2,0,2,2,Month-to-month,1,0,97.85,1105.4,0.9180302022638515,High,1
4370,Female,0,0,0,46,0,1,DSL,2,0,0,0,0,0,One year,1,0,30.75,1489.3,0.05173259567896254,Low,0
5332,Female,0,0,0,12,1,2,Fiber optic,0,0,0,0,2,0,Month-to-month,1,2,91.83292404061831,1128.7526080073958,0.8888209431141254,High,1
724,Female,0,1,1,25,1,0,No,1,1,1,1,1,1,One year,0,2,19.9,505.45,0.0491812589224475,Low,0
681,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,2,83.10127316302692,83.10127316302692,0.9513134495605192,High,1
1647,Female,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,2,54.0344717498173,77.16348879921004,0.9336346070478806,High,1
2699,Male,0,0,0,10,1,0,No,1,1,1,1,1,1,Month-to-month,1,3,20.9,247.0,0.0794442603511799,Low,0
6489,Male,0,0,0,6,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,0,0,75.31028028519745,463.5416656432818,0.9480742132069403,High,1
588,Female,0,1,0,18,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,2,82.72858539143958,1476.9111707695035,0.9470938070889838,High,1
1895,Female,0,0,1,10,1,2,Fiber optic,0,0,0,0,2,2,Month-to-month,0,2,95.2,930.4,0.7322861527365429,Medium,1
1096,Male,0,0,0,2,1,0,DSL,0,0,1,1,1,1,Month-to-month,0,2,76.39230255415436,160.53135913998668,0.9522099693093755,High,1
6112,Male,0,1,0,46,0,1,DSL,2,2,0,0,2,0,Month-to-month,0,2,45.55,2062.15,0.13256389698535667,Low,0
4413,Male,0,1,1,72,1,2,Fiber optic,2,2,0,2,2,0,Two year,0,0,99.9,7251.7,0.04733846292703452,Low,2
6831,Female,0,0,1,27,1,2,No,1,1,1,1,1,1,Two year,1,1,25.85,788.55,0.04747986312784329,Low,0
3013,Female,0,1,1,68,1,2,DSL,0,2,2,2,0,2,One year,1,0,75.8,5293.95,0.054206281695285484,Low,2
4973,Female,0,0,1,55,1,0,No,1,1,1,1,1,1,One year,0,0,19.1,1001.5,0.06559971809964324,Low,0
3940,Female,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,2,51.21378163135452,51.21378163135452,0.9373113410526728,High,0
6897,Female,0,1,1,71,1,2,DSL,2,2,0,2,0,0,One year,1,1,66.85,4748.7,0.04722729104189529,Low,2
1692,Female,0,0,0,1,1,0,Fiber optic,0,0,0,2,0,0,Month-to-month,1,3,74.3,74.3,0.428853290571644,Low,1
5682,Male,0,0,0,19,1,2,Fiber optic,0,0,0,0,0,0,Month-to-month,1,2,54.308058752175896,775.5061350635152,0.7774606333385027,Medium,0
342,Male,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,2,70.18971130550352,70.18971130550352,0.9169858838230731,High,1
2152,Female,0,0,1,2,1,2,DSL,2,2,0,0,0,0,Month-to-month,0,0,60.95,134.6,0.13983727876666255,Low,1
2743,Male,0,0,0,6,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,0,2,83.02035943617838,501.47121462604997,0.9520648762882764,High,1
2992,Male,0,0,1,7,1,0,No,1,1,1,1,1,1,One year,0,3,20.05,96.8,0.06830104539995502,Low,0
5945,Male,0,0,0,72,1,2,Fiber optic,2,0,0,2,0,0,Two year,1,0,84.7,6185.15,0.04684509744148559,Low,2
592,Male,0,0,0,5,1,0,DSL,2,0,0,2,0,0,Month-to-month,0,1,53.85,259.8,0.5959759170241493,Medium,1
5389,Male,0,0,0,17,1,0,No,1,1,1,1,1,1,One year,0,3,19.55,280.85,0.05068670702555081,Low,0
