customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Category,Segment,Cluster,PCA1,PCA2
6908,Female,0,1,0,35,1,2,Fiber optic,0,0,0,0,0,0,Month-to-month,1,2,75.2,2576.2,0.4519077514311609,Low,1,0,-0.24871351100066125,0.3374646641885657
2665,Male,0,1,1,63,1,0,DSL,2,2,2,2,2,0,Two year,0,1,75.55,4707.85,0.0472132474632658,Low,2,0,-1.7960475416117596,0.568618964743714
4569,Male,0,1,0,71,1,2,DSL,2,2,2,2,2,2,Two year,0,0,87.95,6365.35,0.0475541318707573,Low,2,0,-1.9683489304369306,1.0932486354625794
4313,Male,0,1,0,16,1,2,Fiber optic,0,0,0,0,1,0,Month-to-month,1,2,84.77086386575564,1390.3072398049085,0.93799579545279,High,1,1,1.2421873092490618,0.6200638647247922
6952,Male,0,1,1,72,0,1,DSL,0,2,2,2,2,2,Two year,1,2,60.0,4264.0,0.0486755152877849,Low,2,0,-2.1071834136742065,0.23204749160283827
2982,Male,0,0,0,16,0,0,DSL,2,0,0,2,1,1,Month-to-month,0,0,83.45807125322166,1110.3838298575197,0.9306983145739252,High,1,1,1.2230303341700905,0.5742674687580608
5792,Male,0,0,0,11,1,2,Fiber optic,0,0,2,0,2,2,Month-to-month,1,0,97.85,1105.4,0.9180302022638516,High,1,1,1.3966630794094281,0.9347718738187349
4370,Female,0,0,0,46,0,1,DSL,2,0,0,0,0,0,One year,1,0,30.75,1489.3,0.0517325956789625,Low,0,2,-1.4945981504735617,-1.1230169214728354
5332,Female,0,0,0,12,1,2,Fiber optic,0,0,0,0,2,0,Month-to-month,1,2,91.83292404061832,1128.7526080073958,0.8888209431141254,High,1,1,1.2890108659379405,0.7443169977403934
724,Female,0,1,1,25,1,0,No,1,1,1,1,1,1,One year,0,2,19.9,505.45,0.0491812589224475,Low,0,2,-0.957661652637188,-1.8189717768651341
